SID,Exclude,Age,Trial,TrialType,DropChoice,Point_DropLocation,DropLocation,WhichSpace,Notes,BounceHit,NumberHits
M2U01433,N,4,11,Normal,pentagon,,pyramid,,,,
M2U01433,N,4,12,Normal,bowl,,space,torus,,trig prism,
M2U01432,N,3,1,Normal,cone,,space,pyramid,,,
M2U01432,N,3,2,Normal,cone,,pyramid,,,,
M2U01432,N,3,3,Normal,dumbbell,,octahedron,,,,
M2U01432,N,3,4,Normal,dumbbell,,octahedron,,,,
M2U01432,N,3,5,Normal,torus,,bowl,,,,
M2U01432,N,3,6,Normal,torus,,bowl,,,,
M2U01432,N,3,7,Normal,octahedron,,trig prism,,,,
M2U01432,N,3,8,Normal,octahedron,,space,trig prism,,,
M2U01432,N,3,9,Normal,dumbbell,,space,cone,,,
M2U01432,N,3,10,Normal,dumbbell,,space,octahedron,,,
M2U01432,N,3,11,Normal,octahedron,,space,trig prism,,,
M2U01432,N,3,12,Normal,pipe,,space,pyramid,,,
