Video,SID,Exclude,Age,Trial,Condition,DropChoice,Point_DropLocation,DropLocation,WhichSpace,Notes,BounceHit,NumberHits
M2U03282,121119_09,,,4,,bowl,,octahedron,,,,
M2U03282,121119_09,,,5,,torus,,space,pentagon,,,
M2U03282,121119_09,,,6,,trig prism,,pentagon,,,,
M2U03282,121119_09,,,7,,dumbbell,,space,pyramid,,pyramid,
M2U03282,121119_09,,,8,,bowl,,space,trig prism,,,
M2U03282,121119_09,,,13,,cone,,space,bowl,,,
M2U03283,121119_10,,,1,,pipe,at bowl or next to bowl,bowl,,,,
M2U03283,121119_10,,,2,,cone,line between bowl and dumbbell,space,pentagon,,,
M2U03283,121119_10,,,3,,trig prism,,octahedron,,,,
M2U03283,121119_10,,,4,,pyramid,,space,cone,,,
M2U03283,121119_10,,,5,,dumbbell,,trig prism,,,,
M2U03283,121119_10,,,6,,bowl,,torus,,,,
M2U03283,121119_10,,,7,,torus,,bowl,,placed down,,
M2U03283,121119_10,,,8,,trig prism,,dumbbell,,,,
M2U03283,121119_10,,,9,,dumbbell,,space,pipe,,,
M2U03283,121119_10,,,10,,bowl,,cone,,,,
M2U03283,121119_10,,,11,,octahedron,,space,pyramid,,,
M2U03283,121119_10,,,12,,cone,,space,torus,,,
M2U03285,121119_11,,,1,,pipe,,trig prism,,,,
M2U03285,121119_11,,,2,,octahedron,,trig prism,,,,
M2U03285,121119_11,,,3,,bowl,,cone,,,pipe,2
M2U03285,121119_11,,,4,,dumbbell,,octahedron,,,cone,2
M2U03285,121119_11,,,5,,torus,,space,pentagon,,,
M2U03285,121119_11,Y,,6,,pyramid,,boundary (edge of pool),bowl,,,
M2U03285,121119_11,Y,,7,,pyramid,,outside pool,dumbbell,,,
M2U03285,121119_11,,,8,,torus,,bowl,,picks up bowl then sits in pool,,
M2U03285,121119_11,Y,,9,,dumbbell,,pyramid,,"not sure kid or mom thru toy, had to end game and move on to cool tower",,
M2U03286,121119_12,Y,,1,,cone,,bowl,,placed,,
M2U03286,121119_12,,,2,,torus,bowl,bowl,,,,
M2U03286,121119_12,,,3,,pyramid,cone,cone,,,,
M2U03286,121119_12,,,4,,pipe,can't tell angle of finger,octahedron,,,,
M2U03286,121119_12,Y,,5,,dumbbell,,pipe,,placed,,
M2U03286,121119_12,,,6,,pentagon,,trig prism,,,,
M2U03286,121119_12,,,7,,cone,dumbbell,dumbbell,,,,
M2U03286,121119_12,,,8,,torus,both pentagon and dumbbell ,space,bowl,space then bowl,,
M2U03286,121119_12,Y,,9,,bowl,torus,torus,,placed,,
M2U03286,121119_12,,,10,,pentagon,,space,octahedron,,,
M2U03286,121119_12,,,11,,octahedron,trig prism,trig prism,,,,
M2U03286,121119_12,,,12,,torus,,space,pyramid,,,
M2U03286,121119_12,,,13,,trig prism,,dumbbell,,,,
M2U03286,121119_12,,,14,,pyramid,bowl,bowl,,,,
M2U03287,121119_13,,,1,,cone,space next to pyramid,space,pyramid,touched cone before dropping; space then trig prism,,
M2U03287,121119_13,,,2,,cone,,space,pyramid,space then trig prism,,
M2U03287,121119_13,,,3,,pipe,,space,pyramid,space then pyramid,,
M2U03287,121119_13,,,4,,bowl,,space,center,placed,,
M2U03287,121119_13,,,5,,dumbbell,,space,line between pipe and cone,,,
M2U03287,121119_13,,,6,,dumbbell,,space,cone,,,
M2U03287,121119_13,,,7,,torus,,space,dumbbell,,,
M2U03287,121119_13,,,8,,pyramid,,dumbbell,,,,
M2U03287,121119_13,,,9,,bowl,,space,pyramid,,pyramid,
M2U03287,121119_13,,,10,,dumbbell,,space,torus,,,
M2U03287,121119_13,,,11,,torus,,pipe,,,,
M2U03287,121119_13,,,12,,trig prism,,octahedron,,,,
M2U03287,121119_13,,,13,,cone,,space,dumbbell,,,
M2U03287,121119_13,,,14,,pipe,,space,dumbbell,,,
M2U03288,121219_01,Y,,1,,octahedron,,space,dumbbell,"1)touched all toys before beginning, removing them etc, trouble following instructions. 2)threw from angle on the ground",,
M2U03288,121219_01,Y,,2,,octahedron,,bowl,,didn't want to play game,,
M2U03289,121219_02,,,1,,cone,,space,pentagon,placed,,
M2U03289,121219_02,,,2,,cone,,space,pentagon,,pentagon,
M2U03289,121219_02,,,3,,pipe,,space,pentagon,,bowl,
M2U03289,121219_02,,,4,,pyramid,,space,pipe,,,
M2U03289,121219_02,,,5,,torus,,pipe,,,octahedron,2
M2U03289,121219_02,,,6,,dumbbell,,space,torus,,trig prism,
M2U03289,121219_02,,,7,,pentagon,,boundary,trig prism,boundary then pyramid,pyramid,
M2U03289,121219_02,,,8,,trig prism,,space,pengaton,,pentagon,
M2U03289,121219_02,,,9,,torus,,space,pentagon,,,
M2U03289,121219_02,Y,,10,,bowl,,boundary outside,,,,
M2U03289,121219_02,,,11,,bowl,,space,pipe,space then ocatehedron; redo from last - last attempt outside,octahedron,
M2U03289,121219_02,,,12,,dumbbell,,pipe,,,,
M2U03289,121219_02,,,13,,pipe,,space,torus,space then pyramid,pyramid,
M2U03289,121219_02,,,14,,cone,,torus,,,,
M2U03290,121219_03,Y,,1,,cone,,space,torus,placed,,
M2U03290,121219_03,,,1,,cone,,space,torus,redo from last,torus,
M2U03290,121219_03,,,2,,pipe,,space,torus,,,
M2U03290,121219_03,,,3,,bowl,,space,cone,,,
M2U03290,121219_03,,,4,,dumbbell,,space,cone,,,
M2U03290,121219_03,,,5,,pyramid,,space,dumbbell,,dumbbell,
M2U03290,121219_03,,,6,,trig prism,,bowl,,,,
M2U03290,121219_03,,,7,,pentagon,,trig prism,,,,
