"","Study","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","SC0","Exclude","Torus0","Dumbbell","Pipe","Torus","Bowl","Octahedron","Sphere","Pentagon","Trig Prism","Cone","Pyramid","Torus","Dumbbell","Cone","Pipe","Trig Prism","Pentagon","Pyramid","Octahedron","Sphere","Bowl"
"25","2a","100","Duration","TRUE","4/5/20 15:45","R_2Y9R5M7UNvzt3da","4","","dumbbell","pipe","cone","cone","pyramid","sphere","bowl","sphere","bowl","torus","torus","bowl","pentagon","sphere","dumbbell","pentagon","pyramid","sphere","pentagon","pipe","torus"
"26","2a","100","Duration","TRUE","4/5/20 15:50","R_r2bR8rtKykJT9WF","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","trig prism","torus","pentagon","pipe","trig prism","pentagon","pipe","torus"
"27","2a","100","Duration","TRUE","4/5/20 15:57","R_2bZVINPAQrOi59E","2","Y","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","sphere","dumbbell","pentagon","pipe","trig prism","pentagon","pipe","trig prism"
"28","2a","100","Duration","TRUE","4/5/20 16:00","R_sjmx93FTCyT93TH","4","","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","octahedron","sphere","dumbbell","pentagon","pyramid","trig prism","pyramid","pipe","torus"
"29","2a","100","Duration","TRUE","4/5/20 18:46","R_3KOU4JC3Y2qa90f","3","","dumbbell","pipe","cone","cone","pyramid","sphere","bowl","sphere","dumbbell","octahedron","torus","octahedron","octahedron","trig prism","torus","cone","pipe","trig prism","pyramid","pipe","trig prism"
"30","2a","100","Duration","TRUE","4/5/20 19:36","R_3ikVA9gplc4IEf7","3","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","sphere","dumbbell","torus","torus","octahedron","octahedron","sphere","torus","pentagon","pipe","trig prism","pyramid","pipe","torus"
"31","2a","100","Duration","TRUE","4/5/20 19:40","R_vp2SyhSFbOTsyyt","3","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","trig prism","torus","cone","pipe","trig prism","pyramid","pipe","torus"
"32","2a","100","Duration","TRUE","4/5/20 19:45","R_2UfTUbpXN0S2fOy","1","Y","dumbbell","pipe","cone","dumbbell","pyramid","pipe","bowl","bowl","bowl","octahedron","torus","octahedron","pentagon","sphere","dumbbell","cone","pipe","trig prism","pentagon","pipe","torus"
"33","2a","47","Duration","FALSE","4/5/20 19:54","R_ANchle5pOVdFTd7","0","Y","dumbbell","","","","pyramid","","bowl","","","","","","octahedron","trig prism","","","","trig prism","","",""
"34","2a","100","Duration","TRUE","4/5/20 20:44","R_x9g1mhozF2yUltT","4","","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","sphere","torus","cone","pipe","trig prism","pentagon","pipe","torus"
"35","2a","97","Duration","FALSE","4/6/20 0:07","R_3pg29UDDKX003li","4","","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","octahedron","sphere","dumbbell","cone","pipe","sphere","pentagon","pipe","torus"
"36","2a","89","Duration","FALSE","4/6/20 0:25","R_33e5qbXmdVep7o2","3","","dumbbell","pipe","","","pyramid","pipe","bowl","bowl","bowl","torus","torus","bowl","pentagon","sphere","torus","pentagon","pipe","trig prism","pyramid","pipe","torus"
"37","2b","100","Duration","TRUE","4/5/20 21:23","R_Dqpq1Pj91mu5MVH","4","","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","sphere","torus","pentagon","pipe","trig prism","pentagon","pipe","torus"
"38","2b","100","Duration","TRUE","4/5/20 21:27","R_1obzoLT1L7zrTzo","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","octahedron","trig prism","dumbbell","cone","pyramid","trig prism","pyramid","pipe","torus"
"39","2b","100","Duration","TRUE","4/5/20 21:30","R_3OEzdtG97HF6xnr","1","Y","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","trig prism","dumbbell","pentagon","pipe","sphere","pentagon","pipe","torus"
"40","2b","100","Duration","TRUE","4/5/20 21:34","R_325aGxZoKwoNu31","1","Y","pentagon","pipe","cone","dumbbell","pyramid","pipe","bowl","bowl","bowl","octahedron","torus","bowl","octahedron","trig prism","torus","cone","pipe","trig prism","pentagon","cone","torus"
"41","2b","100","Duration","TRUE","4/5/20 22:35","R_3fWejvawc03nyhW","2","Y","dumbbell","pyramid","cone","cone","pyramid","sphere","bowl","sphere","bowl","octahedron","dumbbell","bowl","octahedron","sphere","dumbbell","pentagon","pyramid","trig prism","pyramid","cone","trig prism"
"42","2b","100","Duration","TRUE","4/5/20 23:00","R_2qqr9YZ4bmh632p","4","","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","trig prism","dumbbell","pentagon","pipe","trig prism","pyramid","pipe","torus"
"43","2b","100","Duration","TRUE","4/5/20 23:02","R_3smQetvSIiFs9bq","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","dumbbell","torus","torus","bowl","octahedron","sphere","dumbbell","pentagon","pipe","sphere","pentagon","pipe","torus"
"44","2b","100","Duration","TRUE","4/5/20 23:17","R_74dFcu01JxZE5Sp","3","","dumbbell","pipe","cone","dumbbell","pyramid","pipe","bowl","bowl","bowl","torus","torus","bowl","pentagon","sphere","dumbbell","cone","pipe","sphere","pyramid","pipe","torus"
"45","2b","100","Duration","TRUE","4/5/20 23:55","R_3HN4B30x19S5Xhb","2","Y","pentagon","pipe","cone","dumbbell","trig prism","pipe","bowl","bowl","bowl","torus","torus","bowl","octahedron","sphere","dumbbell","cone","pyramid","sphere","pentagon","pipe","torus"
"46","2b","100","Duration","TRUE","4/6/20 0:13","R_22rmHPK5ybW7UOi","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","bowl","pentagon","trig prism","torus","pentagon","pipe","trig prism","pentagon","pipe","torus"
"47","2b","84","Duration","FALSE","4/6/20 4:04","R_2CBYcO4Oh3ogSp6","3","","dumbbell","pipe","cone","cone","pyramid","pipe","","bowl","bowl","torus","dumbbell","octahedron","octahedron","","dumbbell","cone","pyramid","","pentagon","pipe","torus"
