episode,collision_object_1,collision_object_2,collision_count,ground_object_1,ground_object_2,ground_object_3,available_drop_object_1,available_drop_object_2,available_drop_object_3,dropped_object
25,None,None,0,Bowl,Dumbbell,Ring,Cube,Cylinder,Pentagon,Pentagon
26,None,None,0,Cylinder,Octahedron,Pyramid,Cone,Pentagon,Ring,Pentagon
27,None,None,0,Cube,Pentagon,Torus,Pentagon,Pyramid,Ring,Pentagon
28,None,None,0,Bowl,Cylinder,Pipe,Cube,Cylinder,Pipe,Cylinder
29,TriangularPrism,Octahedron,1,Octahedron,Pentagon,Sphere,Cone,Pipe,TriangularPrism,TriangularPrism
30,None,None,0,Dumbbell,Pentagon,Pipe,Bowl,Pipe,Sphere,Sphere
31,Cylinder,Pyramid,1,Pentagon,Pyramid,Torus,Cylinder,Pentagon,Sphere,Cylinder
32,Ring,Cone,1,Bowl,Ring,TriangularPrism,Bowl,Cone,Torus,Cone
33,Dumbbell,Pipe,2,Bowl,Dumbbell,Pentagon,Cylinder,Pipe,Sphere,Pipe
34,None,None,0,Bowl,Pyramid,Sphere,Cube,Pyramid,TriangularPrism,Pyramid
35,None,None,0,Cylinder,Dumbbell,Pyramid,Cylinder,Torus,TriangularPrism,Cylinder
36,Pipe,TriangularPrism,2,Pentagon,Pipe,Sphere,Cone,Cube,TriangularPrism,TriangularPrism
37,Ring,Bowl,1,Cylinder,Ring,Torus,Bowl,Cylinder,Pipe,Bowl
38,Dumbbell,Pyramid,1,Dumbbell,Pyramid,Sphere,Octahedron,Pyramid,TriangularPrism,Pyramid
39,Torus,Pentagon,1,Pentagon,Pyramid,TriangularPrism,Pipe,Torus,TriangularPrism,Torus
40,Sphere,Torus,2,Cylinder,Pyramid,Sphere,Cube,Sphere,Torus,Torus
41,None,None,0,Cylinder,Octahedron,Pentagon,Cube,Torus,TriangularPrism,Cube
42,Pipe,Dumbbell,1,Cube,Pipe,Torus,Bowl,Dumbbell,Torus,Dumbbell
43,None,None,0,Cube,Pipe,Torus,Cone,Octahedron,Sphere,Cone
44,TriangularPrism,Cylinder,1,Bowl,Cone,Cylinder,Bowl,Sphere,TriangularPrism,TriangularPrism
45,TriangularPrism,Cone,2,Cone,Pentagon,Torus,Bowl,Cylinder,TriangularPrism,TriangularPrism
46,Pyramid,Cube,1,Cube,Pyramid,TriangularPrism,Cube,Pentagon,Torus,Cube
47,None,None,0,Cone,Dumbbell,Octahedron,Bowl,Dumbbell,Sphere,Sphere
48,Cube,Torus,1,Cone,Cube,Pipe,Dumbbell,Torus,TriangularPrism,Torus
49,None,None,0,Ring,Torus,TriangularPrism,Cylinder,Dumbbell,Pipe,Cylinder
50,None,None,0,Pipe,Pyramid,Sphere,Cone,Cube,TriangularPrism,Cone
51,None,None,0,Bowl,Dumbbell,Pyramid,Bowl,Cone,Pipe,Bowl
52,None,None,0,Cylinder,Ring,Sphere,Pipe,Sphere,Torus,Sphere
53,None,None,0,Octahedron,Pyramid,Sphere,Cone,Pentagon,TriangularPrism,Pentagon
54,Pipe,Bowl,3,Bowl,Cone,Pyramid,Pipe,Pyramid,Ring,Pipe
55,None,None,0,Cube,Octahedron,TriangularPrism,Cylinder,Octahedron,Pipe,Pipe
56,None,None,0,Cone,Cube,Pentagon,Pipe,Pyramid,TriangularPrism,Pipe
57,None,None,0,Pipe,Ring,Sphere,Dumbbell,Pentagon,Pyramid,Pentagon
58,Sphere,Dumbbell,1,Pipe,Sphere,Torus,Cone,Dumbbell,Octahedron,Dumbbell
59,None,None,0,Cone,Pyramid,Ring,Bowl,Ring,Torus,Ring
60,None,None,0,Cube,Cylinder,TriangularPrism,Cone,Octahedron,TriangularPrism,TriangularPrism
61,Bowl,Cube,1,Cube,Ring,Sphere,Bowl,Cube,Octahedron,Bowl
62,None,None,0,Bowl,Octahedron,Pentagon,Cone,Cube,Ring,Cube
63,None,None,0,Bowl,Pentagon,Torus,Cone,Octahedron,Pipe,Cone
64,Sphere,Pyramid,2,Cone,Sphere,Torus,Cube,Pentagon,Pyramid,Pyramid
65,Pyramid,Torus,1,Cube,Pentagon,Pyramid,Bowl,Pyramid,Torus,Torus
66,Pipe,Torus,1,Pentagon,Pipe,Sphere,Pyramid,Sphere,Torus,Torus
67,None,None,0,Cylinder,Pipe,Sphere,Cone,Cylinder,TriangularPrism,Cone
68,Sphere,Cube,2,Cone,Octahedron,Sphere,Bowl,Cube,Pyramid,Cube
69,Ring,Pentagon,2,Bowl,Cylinder,Pentagon,Cone,Ring,Torus,Ring
70,None,None,0,Cube,Cylinder,Pipe,Octahedron,Pipe,Pyramid,Pyramid
71,None,None,0,Bowl,Octahedron,Sphere,Cube,Cylinder,Sphere,Sphere
72,Cylinder,TriangularPrism,1,Cylinder,Pyramid,Sphere,Dumbbell,Ring,TriangularPrism,TriangularPrism
73,None,None,0,Cylinder,Pentagon,Pipe,Cone,Pentagon,Pipe,Pentagon
74,Pentagon,Bowl,2,Bowl,Cylinder,Pentagon,Cone,Pentagon,Sphere,Pentagon
75,Cube,Ring,1,Pentagon,Ring,Sphere,Cube,Octahedron,Torus,Cube
76,Torus,Pyramid,1,Bowl,Octahedron,Pyramid,Cube,Dumbbell,Torus,Torus
77,None,None,0,Cone,Pyramid,Sphere,Cube,Dumbbell,Sphere,Cube
78,None,None,0,Bowl,Pyramid,Ring,Cylinder,Pyramid,Ring,Pyramid
79,Pipe,Pipe,1,Dumbbell,Pipe,Ring,Pipe,Ring,Torus,Pipe
80,Octahedron,Cone,1,Cone,Octahedron,Torus,Octahedron,Pyramid,TriangularPrism,Octahedron
81,Torus,Cube,1,Cube,Cylinder,Sphere,Bowl,Ring,Torus,Torus
82,Sphere,TriangularPrism,2,Dumbbell,Sphere,TriangularPrism,Octahedron,Ring,TriangularPrism,TriangularPrism
83,Pyramid,Sphere,2,Bowl,Pyramid,Torus,Cone,Pyramid,Sphere,Sphere
84,Ring,Dumbbell,1,Cube,Cylinder,Dumbbell,Octahedron,Ring,Sphere,Ring
85,None,None,0,Bowl,Cone,Octahedron,Bowl,Pentagon,Ring,Pentagon
86,None,None,0,Bowl,Pipe,Sphere,Cube,Dumbbell,Ring,Cube
87,None,None,0,Bowl,Cube,Torus,Cylinder,Dumbbell,Pipe,Cylinder
88,None,None,0,Cube,Cylinder,Pipe,Cone,Torus,TriangularPrism,Cone
89,None,None,0,Octahedron,Pentagon,Pipe,Bowl,Octahedron,Pyramid,Octahedron
90,None,None,0,Cone,Dumbbell,Pipe,Bowl,Octahedron,Sphere,Octahedron
91,None,None,0,Cylinder,Pentagon,Ring,Octahedron,Pipe,Ring,Octahedron
92,None,None,0,Bowl,Cone,Ring,Pipe,Ring,Sphere,Pipe
93,None,None,0,Bowl,Cube,Pyramid,Octahedron,Pyramid,Torus,Octahedron
94,None,None,0,Dumbbell,Octahedron,TriangularPrism,Pentagon,Ring,TriangularPrism,Pentagon
95,None,None,0,Cone,Cube,Pyramid,Cylinder,Dumbbell,Ring,Ring
96,None,None,0,Sphere,Torus,TriangularPrism,Bowl,Cube,Ring,Bowl
97,None,None,0,Dumbbell,Octahedron,TriangularPrism,Dumbbell,Pentagon,Torus,Pentagon
98,TriangularPrism,Cylinder,1,Pentagon,Pyramid,TriangularPrism,Cylinder,Dumbbell,Ring,Cylinder
99,Ring,Cone,1,Cone,Cube,Pipe,Bowl,Pyramid,Ring,Ring
100,None,None,0,Cone,Cylinder,Pipe,Dumbbell,Pentagon,Pipe,Pentagon
101,None,None,0,Cylinder,Pyramid,TriangularPrism,Octahedron,Pentagon,Sphere,Sphere
102,Pipe,Torus,1,Dumbbell,Pyramid,Torus,Cube,Pipe,TriangularPrism,Pipe
103,Cone,Octahedron,1,Cone,Pipe,Torus,Octahedron,Pyramid,Sphere,Octahedron
104,Ring,Cylinder,1,Pyramid,Ring,TriangularPrism,Cylinder,Sphere,TriangularPrism,Cylinder
105,None,None,0,Bowl,Octahedron,Pentagon,Pentagon,Ring,Sphere,Ring
106,Ring,Ring,2,Pyramid,Ring,TriangularPrism,Cube,Ring,Sphere,Ring
107,Pyramid,Cylinder,1,Cylinder,Pyramid,Sphere,Cylinder,Dumbbell,Pipe,Cylinder
108,None,None,0,Dumbbell,Pipe,Pyramid,Cube,Cylinder,Pentagon,Cube
109,Bowl,Cube,2,Cone,Cube,Ring,Bowl,Ring,TriangularPrism,Bowl
110,None,None,0,Cylinder,Pentagon,Pyramid,Octahedron,Pentagon,Torus,Octahedron
111,None,None,0,Cone,Cube,Pyramid,Pipe,Pyramid,TriangularPrism,TriangularPrism
112,None,None,0,Octahedron,Pyramid,Sphere,Cone,Cylinder,Ring,Cone
113,Torus,Cone,2,Bowl,Pipe,Torus,Cone,Cylinder,Dumbbell,Cone
114,Octahedron,Ring,3,Cone,Cylinder,Ring,Octahedron,Torus,TriangularPrism,Octahedron
115,None,None,0,Cone,Pentagon,Ring,Cube,Cylinder,Ring,Cylinder
116,None,None,0,Cube,Ring,Torus,Cylinder,Octahedron,Pyramid,Octahedron
117,Sphere,Octahedron,1,Cube,Sphere,Torus,Dumbbell,Octahedron,TriangularPrism,Octahedron
118,None,None,0,Cylinder,Pentagon,Sphere,Octahedron,Torus,TriangularPrism,Octahedron
119,None,None,0,Cone,Cube,Pentagon,Cube,Octahedron,TriangularPrism,Octahedron
120,None,None,0,Dumbbell,Pipe,Ring,Cylinder,Dumbbell,Ring,Cylinder
121,TriangularPrism,Sphere,2,Dumbbell,Pyramid,Sphere,Pentagon,Pipe,TriangularPrism,TriangularPrism
122,Pyramid,Torus,1,Cone,Pipe,Torus,Cone,Cylinder,Pyramid,Pyramid
123,None,None,0,Cube,Cylinder,Ring,Cube,Dumbbell,Pipe,Cube
124,None,None,0,Dumbbell,Octahedron,Ring,Cube,Octahedron,Pipe,Pipe
125,TriangularPrism,Bowl,1,Bowl,Cube,Torus,Cube,Pentagon,TriangularPrism,TriangularPrism
126,None,None,0,Cylinder,Dumbbell,Pipe,Pentagon,Pyramid,Ring,Pyramid
127,None,None,0,Octahedron,Ring,TriangularPrism,Bowl,Octahedron,Ring,Ring
128,None,None,0,Octahedron,Ring,Sphere,Cone,Cylinder,Ring,Cylinder
129,None,None,0,Bowl,Cone,Cylinder,Bowl,Octahedron,Pipe,Pipe
130,None,None,0,Bowl,Cylinder,Sphere,Octahedron,Sphere,Torus,Sphere
131,None,None,0,Bowl,Pyramid,Sphere,Cone,Pentagon,Sphere,Pentagon
132,None,None,0,Cylinder,Pyramid,Ring,Cube,Pentagon,Torus,Torus
133,Cone,Cube,1,Bowl,Cone,Pyramid,Cone,Cube,Pyramid,Cube
134,None,None,0,Cube,Pipe,Pyramid,Pentagon,Pipe,TriangularPrism,TriangularPrism
135,None,None,0,Octahedron,Pipe,Torus,Cone,Cube,Pyramid,Cube
136,None,None,0,Cylinder,Torus,TriangularPrism,Cube,Cylinder,Pipe,Cube
137,TriangularPrism,Sphere,1,Cone,Pipe,Sphere,Bowl,Pyramid,TriangularPrism,TriangularPrism
138,None,None,0,Cone,Octahedron,Sphere,Cylinder,Pentagon,Torus,Cylinder
139,Cylinder,Bowl,1,Bowl,Octahedron,TriangularPrism,Cylinder,Octahedron,Torus,Cylinder
140,None,None,0,Bowl,Pentagon,Pipe,Dumbbell,Torus,TriangularPrism,Dumbbell
141,None,None,0,Bowl,Cube,Pyramid,Bowl,Pentagon,Sphere,Sphere
142,Cylinder,Ring,2,Bowl,Cone,Ring,Bowl,Cylinder,TriangularPrism,Cylinder
143,None,None,0,Pentagon,Sphere,Torus,Dumbbell,Pipe,Pyramid,Dumbbell
144,None,None,0,Cylinder,Pipe,Ring,Pipe,Pyramid,Sphere,Pyramid
145,Pyramid,Sphere,1,Octahedron,Sphere,Torus,Cylinder,Pyramid,Sphere,Pyramid
146,Ring,Dumbbell,1,Pyramid,Ring,TriangularPrism,Cylinder,Dumbbell,Torus,Dumbbell
147,Sphere,Bowl,1,Cube,Sphere,Torus,Bowl,Cone,Cylinder,Bowl
148,None,None,0,Dumbbell,Octahedron,Ring,Ring,Torus,TriangularPrism,Ring
149,None,None,0,Dumbbell,Ring,Torus,Bowl,Cylinder,Torus,Cylinder
150,None,None,0,Cylinder,Pentagon,Pipe,Cone,Pentagon,Pyramid,Pentagon
151,None,None,0,Cylinder,Dumbbell,Sphere,Bowl,Cone,Octahedron,Cone
152,Cube,Torus,2,Cone,Cylinder,Torus,Cube,Dumbbell,TriangularPrism,Cube
153,Bowl,Sphere,1,Bowl,Cube,Pipe,Bowl,Octahedron,Sphere,Sphere
154,Pipe,Pentagon,1,Dumbbell,Pipe,Torus,Pentagon,Pipe,Sphere,Pentagon
155,Cylinder,Cylinder,1,Bowl,Cylinder,Pyramid,Cone,Cylinder,Torus,Cylinder
156,Bowl,Ring,1,Cube,Pentagon,Ring,Bowl,Cube,Pyramid,Bowl
157,Pyramid,Torus,2,Bowl,Pyramid,TriangularPrism,Dumbbell,Octahedron,Torus,Torus
158,None,None,0,Bowl,Cone,Cube,Bowl,Octahedron,Pyramid,Pyramid
159,None,None,0,Dumbbell,Ring,TriangularPrism,Cube,Octahedron,Pentagon,Octahedron
160,None,None,0,Cube,Octahedron,Sphere,Cylinder,Pyramid,TriangularPrism,TriangularPrism
161,Cone,Dumbbell,1,Dumbbell,Octahedron,Pentagon,Cone,Cylinder,Dumbbell,Cone
162,None,None,0,Cube,Sphere,TriangularPrism,Bowl,Pipe,Ring,Ring
163,Torus,Cube,2,Cube,Torus,TriangularPrism,Cube,Sphere,TriangularPrism,Cube
164,Sphere,Pentagon,1,Cube,Octahedron,Pentagon,Cylinder,Sphere,TriangularPrism,Sphere
165,None,None,0,Octahedron,Pyramid,TriangularPrism,Cube,Octahedron,Pipe,Cube
166,Bowl,Torus,1,Octahedron,Pyramid,Torus,Bowl,Cylinder,Pyramid,Bowl
167,Cube,Cone,1,Cube,Pipe,Torus,Cone,Cube,TriangularPrism,Cone
168,Sphere,TriangularPrism,2,Pyramid,Sphere,TriangularPrism,Dumbbell,Torus,TriangularPrism,TriangularPrism
169,Torus,Ring,1,Ring,Sphere,Torus,Cone,Dumbbell,Torus,Torus
170,Pipe,Ring,1,Ring,Torus,TriangularPrism,Cylinder,Pipe,Pyramid,Pipe
171,Torus,Ring,1,Cube,Pipe,Ring,Cylinder,Octahedron,Torus,Torus
172,None,None,0,Cone,Sphere,Torus,Cone,Pentagon,Sphere,Sphere
173,Bowl,Dumbbell,2,Bowl,Pentagon,TriangularPrism,Cube,Cylinder,Dumbbell,Dumbbell
174,Pyramid,Sphere,3,Dumbbell,Octahedron,Sphere,Pyramid,Ring,TriangularPrism,Pyramid
175,Torus,Pipe,2,Cube,Pipe,Torus,Cube,Dumbbell,Torus,Torus
176,None,None,0,Bowl,Cone,Torus,Cone,Pentagon,Torus,Cone
177,Cube,Octahedron,1,Cube,Ring,Sphere,Cube,Octahedron,Pipe,Octahedron
178,Pyramid,Bowl,1,Cube,Dumbbell,Pyramid,Bowl,Cone,Cube,Bowl
179,None,None,0,Cube,Sphere,Torus,Cube,Pipe,Pyramid,Pipe
180,Dumbbell,Pyramid,2,Cone,Dumbbell,TriangularPrism,Bowl,Pyramid,TriangularPrism,Pyramid
181,Pyramid,Pipe,1,Dumbbell,Pipe,Pyramid,Cylinder,Pyramid,Ring,Pyramid
182,Pyramid,Dumbbell,1,Dumbbell,Pyramid,Sphere,Cone,Cube,Dumbbell,Dumbbell
183,Sphere,Cone,1,Pipe,Pyramid,Sphere,Cone,Ring,Sphere,Cone
184,None,None,0,Cylinder,Dumbbell,Torus,Cube,Pipe,Sphere,Pipe
185,None,None,0,Dumbbell,Pipe,Torus,Dumbbell,Pentagon,Ring,Pentagon
186,Ring,Octahedron,2,Octahedron,Ring,Sphere,Cone,Ring,Sphere,Ring
187,Pipe,Ring,2,Bowl,Cube,Ring,Cylinder,Octahedron,Pipe,Pipe
188,Dumbbell,Ring,2,Cylinder,Dumbbell,Pyramid,Octahedron,Ring,TriangularPrism,Ring
189,None,None,0,Dumbbell,Sphere,Torus,Bowl,Pentagon,Pipe,Pentagon
190,Bowl,Pentagon,2,Pentagon,Pipe,Torus,Bowl,Cylinder,TriangularPrism,Bowl
191,None,None,0,Bowl,Cylinder,Pentagon,Dumbbell,Octahedron,Pipe,Pipe
192,None,None,0,Cylinder,Octahedron,TriangularPrism,Cube,Pentagon,Pyramid,Cube
193,Cube,Dumbbell,1,Cube,Cylinder,Octahedron,Dumbbell,Sphere,TriangularPrism,Dumbbell
194,Sphere,Sphere,1,Octahedron,Pyramid,Sphere,Cylinder,Sphere,Torus,Sphere
195,TriangularPrism,Torus,2,Pyramid,Torus,TriangularPrism,Dumbbell,Sphere,TriangularPrism,TriangularPrism
196,Bowl,Dumbbell,2,Bowl,Cone,Dumbbell,Bowl,Cylinder,Torus,Bowl
197,Cylinder,Ring,2,Cylinder,Dumbbell,Ring,Cylinder,Dumbbell,Ring,Cylinder
198,Pentagon,Cube,1,Cone,Pentagon,TriangularPrism,Cube,Cylinder,Dumbbell,Cube
199,Ring,Ring,2,Dumbbell,Pyramid,Ring,Pipe,Ring,Sphere,Ring
200,Sphere,TriangularPrism,2,Cube,Ring,Sphere,Cylinder,Ring,TriangularPrism,TriangularPrism
201,None,None,0,Cone,Pentagon,Torus,Cone,Pentagon,Sphere,Pentagon
202,Pentagon,Sphere,1,Cube,Pentagon,Torus,Ring,Sphere,Torus,Sphere
203,Torus,TriangularPrism,2,Pipe,Pyramid,Torus,Cone,Ring,TriangularPrism,TriangularPrism
204,TriangularPrism,TriangularPrism,1,Bowl,Cylinder,TriangularPrism,Octahedron,Pentagon,TriangularPrism,TriangularPrism
205,Cone,Pentagon,1,Pentagon,Pipe,Ring,Cone,Dumbbell,Pentagon,Cone
206,Pyramid,Cone,1,Cylinder,Pyramid,TriangularPrism,Cone,Cube,TriangularPrism,Cone
207,Pentagon,Pyramid,1,Cube,Dumbbell,Pyramid,Bowl,Pentagon,Sphere,Pentagon
208,None,None,0,Bowl,Cone,Cylinder,Cylinder,Pyramid,Ring,Ring
209,None,None,0,Cone,Dumbbell,Pipe,Cone,Cube,Octahedron,Cone
210,None,None,0,Bowl,Cube,Pyramid,Cone,Cube,Pyramid,Cube
211,None,None,0,Bowl,Cylinder,Dumbbell,Bowl,Sphere,Torus,Torus
212,None,None,0,Bowl,Cylinder,Pyramid,Cube,Dumbbell,Pyramid,Cube
213,Octahedron,Pipe,1,Cylinder,Dumbbell,Octahedron,Dumbbell,Pipe,Torus,Pipe
214,Pipe,TriangularPrism,1,Pipe,Ring,TriangularPrism,Cone,Dumbbell,Pipe,Pipe
215,Bowl,Bowl,1,Bowl,Cube,Pentagon,Bowl,Pentagon,Pipe,Bowl
216,None,None,0,Cube,Cylinder,Sphere,Bowl,Sphere,Torus,Bowl
217,Dumbbell,Pipe,1,Cylinder,Dumbbell,TriangularPrism,Dumbbell,Pipe,Ring,Pipe
218,Octahedron,Pentagon,2,Octahedron,Pyramid,Sphere,Dumbbell,Pentagon,Torus,Pentagon
219,None,None,0,Bowl,Octahedron,Ring,Cone,Octahedron,Torus,Cone
220,Sphere,Torus,1,Cube,Dumbbell,Sphere,Cylinder,Sphere,Torus,Torus
221,Pyramid,Ring,1,Bowl,Octahedron,Ring,Bowl,Cube,Pyramid,Pyramid
222,Dumbbell,Sphere,2,Bowl,Dumbbell,TriangularPrism,Octahedron,Pipe,Sphere,Sphere
223,None,None,0,Cone,Cylinder,Dumbbell,Sphere,Torus,TriangularPrism,Sphere
224,Cone,Dumbbell,1,Bowl,Cone,Octahedron,Dumbbell,Pentagon,Ring,Dumbbell
225,None,None,0,Bowl,Dumbbell,TriangularPrism,Pentagon,Ring,Sphere,Ring
226,Ring,Ring,1,Bowl,Ring,Torus,Cylinder,Pentagon,Ring,Ring
227,Ring,Torus,2,Cone,Ring,TriangularPrism,Cube,Octahedron,Torus,Torus
228,Sphere,Bowl,2,Cylinder,Pyramid,Sphere,Bowl,Octahedron,TriangularPrism,Bowl
229,None,None,0,Cube,Sphere,TriangularPrism,Bowl,Cone,Pyramid,Cone
230,Pipe,Pentagon,1,Pentagon,Pipe,TriangularPrism,Cube,Cylinder,Pipe,Pipe
231,Bowl,Dumbbell,1,Dumbbell,Octahedron,Sphere,Bowl,Pipe,Torus,Bowl
232,Dumbbell,Torus,1,Dumbbell,Pipe,Torus,Cube,Dumbbell,Pyramid,Dumbbell
233,TriangularPrism,Dumbbell,2,Cone,Pyramid,TriangularPrism,Dumbbell,Torus,TriangularPrism,Dumbbell
234,None,None,0,Cone,Pyramid,TriangularPrism,Dumbbell,Pipe,Pyramid,Pyramid
235,Torus,Pentagon,2,Cylinder,Dumbbell,Torus,Dumbbell,Pentagon,TriangularPrism,Pentagon
236,Torus,Sphere,1,Bowl,Pipe,Sphere,Pipe,Ring,Torus,Torus
237,None,None,0,Cylinder,Octahedron,Ring,Cube,Octahedron,Pyramid,Cube
238,Cone,Cylinder,1,Bowl,Cone,Dumbbell,Cone,Cube,Cylinder,Cylinder
239,Torus,TriangularPrism,2,Cube,Pyramid,TriangularPrism,Octahedron,Torus,TriangularPrism,Torus
240,None,None,0,Cone,Cube,Sphere,Cube,Dumbbell,Ring,Cube
241,Dumbbell,Ring,2,Dumbbell,Ring,Sphere,Cylinder,Dumbbell,Octahedron,Dumbbell
242,None,None,0,Cube,Cylinder,Pipe,Cube,Octahedron,Pyramid,Pyramid
243,None,None,0,Cylinder,Pipe,Pyramid,Cone,Pipe,Ring,Cone
244,Sphere,TriangularPrism,2,Pyramid,Torus,TriangularPrism,Pyramid,Ring,Sphere,Sphere
245,Dumbbell,Ring,3,Cube,Ring,TriangularPrism,Dumbbell,Octahedron,Pyramid,Dumbbell
246,Cylinder,Cone,2,Cone,Dumbbell,Ring,Cylinder,Octahedron,Ring,Cylinder
247,None,None,0,Octahedron,Sphere,Torus,Bowl,Pentagon,Pipe,Pipe
248,Octahedron,Octahedron,1,Cube,Octahedron,Pipe,Bowl,Dumbbell,Octahedron,Octahedron
249,Pyramid,Ring,3,Cone,Pyramid,Ring,Bowl,Pyramid,Sphere,Pyramid
250,None,None,0,Cylinder,Pyramid,Torus,Octahedron,Pentagon,Torus,Octahedron
251,Pipe,Pipe,2,Pipe,Ring,TriangularPrism,Dumbbell,Pipe,TriangularPrism,Pipe
252,Pentagon,Pipe,1,Bowl,Pentagon,Pipe,Cube,Pipe,Ring,Pipe
253,Pipe,Octahedron,1,Pipe,Sphere,TriangularPrism,Cube,Cylinder,Octahedron,Octahedron
254,TriangularPrism,TriangularPrism,2,Cube,Ring,TriangularPrism,Pyramid,Ring,TriangularPrism,TriangularPrism
255,None,None,0,Cone,Octahedron,Ring,Ring,Sphere,TriangularPrism,Sphere
256,None,None,0,Cylinder,Torus,TriangularPrism,Cube,Octahedron,TriangularPrism,Octahedron
257,None,None,0,Dumbbell,Pipe,Pyramid,Bowl,Cube,Sphere,Sphere
258,None,None,0,Pentagon,Torus,TriangularPrism,Cone,Octahedron,Pyramid,Octahedron
259,Ring,Ring,3,Pyramid,Ring,TriangularPrism,Cone,Ring,Sphere,Ring
260,Cube,Bowl,3,Bowl,Ring,Torus,Cube,Cylinder,Pentagon,Cube
261,None,None,0,Cylinder,Pyramid,Torus,Cylinder,Pentagon,Pyramid,Pyramid
262,None,None,0,Pentagon,Ring,TriangularPrism,Bowl,Pentagon,TriangularPrism,TriangularPrism
263,Dumbbell,Pipe,1,Dumbbell,Sphere,TriangularPrism,Cone,Cube,Pipe,Pipe
264,Dumbbell,Pipe,2,Cube,Dumbbell,Pipe,Dumbbell,Pentagon,Ring,Dumbbell
265,Pentagon,Octahedron,1,Cone,Octahedron,Pentagon,Cylinder,Octahedron,Torus,Octahedron
266,Pentagon,Octahedron,1,Dumbbell,Pentagon,Torus,Octahedron,Pipe,Sphere,Octahedron
267,None,None,0,Bowl,Cube,Octahedron,Cube,Octahedron,Ring,Cube
268,Ring,Bowl,2,Cone,Octahedron,Ring,Bowl,Cone,TriangularPrism,Bowl
269,None,None,0,Bowl,Dumbbell,Pyramid,Cylinder,Pyramid,TriangularPrism,Cylinder
270,None,None,0,Bowl,Cylinder,Dumbbell,Cone,Pyramid,Torus,Torus
271,None,None,0,Pentagon,Pipe,Torus,Pentagon,Torus,TriangularPrism,Pentagon
272,None,None,0,Pipe,Sphere,TriangularPrism,Bowl,Pyramid,Torus,Pyramid
273,TriangularPrism,Pyramid,1,Pentagon,Torus,TriangularPrism,Bowl,Octahedron,Pyramid,Pyramid
274,None,None,0,Cone,Dumbbell,Ring,Cone,Cylinder,Pyramid,Cylinder
275,None,None,0,Cylinder,Dumbbell,TriangularPrism,Cone,Pentagon,TriangularPrism,TriangularPrism
276,None,None,0,Cone,Cube,Pentagon,Bowl,Cone,Pentagon,Bowl
277,None,None,0,Pentagon,Torus,TriangularPrism,Bowl,Octahedron,Pentagon,Octahedron
278,Cube,Cube,1,Cube,Cylinder,Ring,Bowl,Cone,Cube,Cube
279,Sphere,TriangularPrism,1,Cube,Pentagon,TriangularPrism,Octahedron,Pipe,Sphere,Sphere
280,None,None,0,Cylinder,Sphere,Torus,Bowl,Cube,Octahedron,Cube
